(116.0, 12.629370212554932)
(134.0, 0.07400774955749512)
(122.0, 0.26520228385925293)
(120.0, 0.9962518215179443)
-------------------------------------------All Solutions---------------------------------------------
(130.0, 12.732481002807617)
(139.0, 0.11395096778869629)
(134.0, 0.272935152053833)
(131.0, 1.0024609565734863)
-------------------------------------------All Solutions---------------------------------------------
(121.0, 12.604132890701294)
(138.0, 0.07431888580322266)
(127.0, 0.2656259536743164)
(124.0, 1.001082181930542)
-------------------------------------------All Solutions---------------------------------------------
(120.0, 12.586847066879272)
(132.0, 0.07493400573730469)
(125.0, 0.26617908477783203)
(123.0, 0.9988462924957275)
-------------------------------------------All Solutions---------------------------------------------
(119.0, 12.672539710998535)
(130.0, 0.07541084289550781)
(123.0, 0.26761698722839355)
(120.0, 1.0095360279083252)
-------------------------------------------All Solutions---------------------------------------------
(118.0, 12.596797943115234)
(131.0, 0.07412505149841309)
(124.0, 0.26705288887023926)
(122.0, 1.0013220310211182)
-------------------------------------------All Solutions---------------------------------------------
(117.0, 12.646553993225098)
(131.0, 0.07407808303833008)
(120.0, 0.26676034927368164)
(120.0, 0.9984591007232666)
-------------------------------------------All Solutions---------------------------------------------
(122.0, 12.536345958709717)
(133.0, 0.0740211009979248)
(127.0, 0.26338982582092285)
(125.0, 0.9969980716705322)
-------------------------------------------All Solutions---------------------------------------------
(126.0, 12.562680959701538)
(131.0, 0.07473301887512207)
(126.0, 0.26649999618530273)
(126.0, 0.997899055480957)
-------------------------------------------All Solutions---------------------------------------------
(117.0, 12.568727016448975)
(133.0, 0.07516813278198242)
(122.0, 0.26632189750671387)
(121.0, 1.0003457069396973)
-------------------------------------------All Solutions---------------------------------------------
