338.5,78.045,6.65E-05,240,31.1433,1799.96,231,26.4167,9.80902,231.5,27.0833,1800.05,237,27.3933,0.0759996
341.5,88.1183,6.28E-05,246.5,34.7233,1800.43,229.5,32.2833,9.81492,233,34.8217,1800.11,236,34.12,0.104061
337,85.1817,7.78E-05,245,36.935,1799.89,229.5,34.5767,9.74117,231.5,35.1983,1799.98,232,35.0117,0.108851
344.5,95.4367,8.94E-05,245.5,39.625,1803.35,228.5,37.18,10.2061,231,38.56,1800.05,229,37.325,0.208368
335.5,86.3117,7.57E-05,233.5,31.7817,1800.35,227.5,29.7667,9.63134,230.5,31.295,1800.03,232,32.1633,0.049943
353.5,96.79,7.68E-05,244,39.65,1800.37,227.5,38.03,9.5773,230.5,39.16,1800.04,229,37.79,0.177623
341.5,92.6367,7.71E-05,269.5,38.9433,1800.86,229,32.8267,9.54701,232,34.0083,1800.04,233,34.5367,0.0632365
338.5,88.535,7.37E-05,250,39.5267,1800.37,229,31.94,9.60802,229,32.085,1800.04,230.5,32.3433,0.0512721
341.5,95.67,7.34E-05,248.5,39.7233,1800.54,229,34.7,9.59218,232,35.8,1800.04,230.5,35.01,0.120964
343,82.6183,7.53E-05,237.5,34.99,1800.81,231,30.4133,9.74252,232.5,31.0633,1800.05,232,30.605,0.139163
,,,,,,,,,,,,,,
383,95.6767,7.43E-05,303,61,1802.08,301,60.4233,9.47893,303,61.6533,20.1507,302,60.5867,0.0858014
372,102.48,7.64E-05,302,68.7667,1802.16,301,67.7267,9.50415,303,68.6333,11.2054,303,68.1133,0.118241
381,104.967,0.000131675,302,69.9467,1800.52,300,68.9467,9.69195,303,69.4467,0.535106,302,70.0367,0.109351
385,111.363,6.66E-05,302,73.2767,1802.5,300,72.2767,9.62623,302,72.8167,1799.87,301,72.51,0.224943
374,102.203,8.38E-05,302,66.4567,1807.61,300,65.29,9.86798,303,66.6367,0.143681,302,65.4633,0.0455408
393,118.19,7.12E-05,302,74.95,1805.53,300,73.95,9.78747,301,74.25,1799.98,303,74.1967,0.189923
366,102.757,6.34E-05,302,68.1167,1798.21,300,67.1167,9.66068,305,67.6367,0.368163,304,67.4833,0.0614028
376,105.487,6.16E-05,302,68.5,1801.35,300,67.3333,10.3758,304,67.68,1.40164,304,67.6933,0.0527795
377,111.637,7.24E-05,302,70.81,1801.31,300,69.81,9.67231,301,69.9767,1374.85,301,69.9367,0.146729
384,99.9667,7.69E-05,306,66.67,1800.39,301,64.8133,9.78047,303,65.7133,1800.03,303,64.8467,0.153236
,,,,,,,,,,,,,,
424.5,115.02,7.82E-05,376,97.93,1801.86,374,96.93,9.61927,375.5,97.7917,22.4916,382,97.3933,0.0868967
411,120.037,7.92E-05,376,104.8,1798.03,374,103.8,9.60965,375,104.247,20.0869,377.5,104.067,0.123387
422.5,124.72,8.73E-05,376,106.947,1803.66,374,105.947,15.6736,377,106.202,0.52705,376,106.493,0.150802
423,128.552,6.19E-05,376,110.277,1807.44,374,109.277,10.2412,375,109.497,1800.15,375.5,109.453,0.218332
413.5,120.585,8.01E-05,376,103.457,1814.28,374,102.457,9.65515,376.5,103.547,0.171124,380.5,103.29,0.0448719
424,132.732,7.94E-05,376,111.95,1806.15,374,110.95,9.83769,374.5,111.16,1800.04,376,111.26,0.199204
408.5,121.9,7.75E-05,376,105.117,1800.36,374,104.117,10.552,379.5,104.397,0.474751,377,104.943,0.0686465
413.5,123.128,6.49E-05,376,105.5,1800.66,374,104.5,10.069,376,105.193,2.02,380,104.687,0.0567631
412.5,127.887,6.60E-05,376,107.81,1800.98,374,106.81,9.60421,374.5,106.893,1800.03,375.5,107.027,0.141996
429.5,118.955,7.66E-05,376.5,102.245,1801.31,374.5,101.157,9.79922,375,101.507,1800.08,376.5,101.36,0.173881
,,,,,,,,,,,,,,
469,134.42,8.76E-05,448,133.93,1800.35,448,133.93,9.95566,448,133.93,0.226106,451,133.94,0.0699132
451,140.81,6.82E-05,450,141.8,1800.18,448,140.8,9.88109,448,140.8,0.343496,451,140.81,0.101517
463,143.197,6.07E-05,450,143.947,1804.65,448,142.947,9.83473,598,167.947,0.0357649,448,142.947,0.111594
463,146.527,6.41E-05,448,146.277,1800.37,448,146.277,9.8401,448,146.277,1800.04,448,146.277,0.214052
454,139.497,7.23E-05,448,139.457,1800.39,448,139.457,9.83498,450,140.457,0.0327585,448,139.457,0.0454059
460,148.11,7.66E-05,448,147.95,1800.84,448,147.95,9.85997,448,147.95,1800.02,451,147.96,0.180009
448,141.117,7.41E-05,450,142.117,1800.49,448,141.117,9.85478,461,141.787,0.0252516,448,141.117,0.0650599
454,141.54,7.25E-05,448,141.5,1800.81,448,141.5,9.77274,454,142.527,0.0251255,448,141.5,0.0482341
451,143.82,7.45E-05,448,143.81,1800.37,448,143.81,9.8746,448,143.81,8.20908,448,143.81,0.143483
478,139,9.58E-05,450,139,1800.36,448,138,9.81707,451,138.01,113.739,448,138,0.16109
