200,0.31,8.9885e-05,200,2.29,39.4597,200,0.323333,9.20298,200,12.4833,0.545604,200,2.56,0.0668238,200,1.52,6.56692,200,10.1,0.00215967,200,3.46,0.028386,200,2.87667,0.101679,200,1.83667,0.389099,
169,0.533333,0.000108949,169,2.16,42.1205,169,0.53,9.19709,170,6.54,1.09147,170,3.35333,0.0973055,169,1.64667,6.6155,174,19.03,0.00199355,170,3.04333,0.0280319,170,2.14667,0.0997505,169,1.06667,0.38195,
181,0.723333,7.8439e-05,181,2.90667,39.7814,181,0.64,9.19411,181,11.1,0.824961,181,3.58,0.106103,181,1.78,6.33683,181,18.92,0.00204132,181,1.88667,0.0282512,181,1.61667,0.102498,181,0.76,0.381388,
181,1.27333,7.2485e-05,181,2.76333,38.3815,181,1.28333,9.20488,181,10.4633,2.72702,181,2,0.19788,181,2.33,3.70611,181,21.8633,0.00208049,181,4.03333,0.0285281,181,3.46667,0.0997348,181,2.4,0.380542,
176,0.43,8.0165e-05,176,1.03333,47.3262,176,0.426667,9.2278,176,12.06,0.546519,176,2.55667,0.0439857,176,1.50333,7.0069,177,18.8167,0.0021055,176,3.37333,0.0282587,176,2.25333,0.101579,176,1.72,0.381399,
200,5.03,6.5467e-05,200,21.9667,31.5133,200,1.22833,9.4565,200,26.6033,0.37834,200,2.82167,0.0672252,200,1.68833,4.27454,200,13.6167,0.00203234,200,5.63,0.0285107,200,4.23333,0.104933,200,2.715,0.39473,
186.5,9.94,6.3914e-05,171,6.33333,1800.43,169,1.39667,9.15029,171,6.69333,1.72566,170.5,4.39833,0.0968778,169.5,1.69833,3.25656,175.5,20.7533,0.00200472,173.5,4.63167,0.0281314,172.5,3.82667,0.0991706,169,2.45333,0.378005,
190,11.6467,7.697e-05,181,12.25,85.2339,181,2.18667,9.18028,181,15.2867,1.31055,181,4.85833,0.100966,181,2.76333,2.98552,181,21.175,0.00198567,181,4.00333,0.0278583,181,3.225,0.0996967,181,2.40667,0.383446,
193,17.07,6.4784e-05,181,19.06,70.568,181,2.48167,9.98836,181,14.9467,3.16797,181,3.23667,0.201568,181,3.56333,4.45419,181,23.2433,0.00209062,181,5.715,0.0297978,181,4.79333,0.108517,181,3.45333,0.414522,
187.5,9.13667,6.4253e-05,176,7.45667,149.606,176,1.35333,9.18349,176,9.00333,0.544673,176,3.51333,0.0441931,176,2.44167,2.88466,179,20.8,0.00213963,177,4.50333,0.0283106,176,3.99,0.100165,176,2.62667,0.379662,
228,22.36,7.15e-05,200,4.56667,89.6694,200,1.80333,9.1703,200,13.7067,0.445801,200,3.98,0.0666679,200,2.35,2.47294,200,15.72,0.0019841,200,7.50667,0.0279447,200,5.01,0.104202,200,3.2,0.390918,
